CustomerID,Tenure,MonthlyCharges,Contract,ChurnProbability
CUST0339,8,77.54,Month-to-month,0.9778431372549018
CUST0239,8,60.24,Month-to-month,0.9584290568777866
CUST0981,10,61.5,Month-to-month,0.9554450859410291
CUST0148,2,45.6,Month-to-month,0.9540270655270655
CUST0376,8,97.69,Month-to-month,0.9504786812103886
CUST0294,62,91.97,Month-to-month,0.949144959345904
CUST0287,7,83.44,Month-to-month,0.9478713633590854
CUST0899,6,97.65,Month-to-month,0.9416547034525757
CUST0146,2,44.04,Month-to-month,0.938397435897436
CUST0525,63,102.67,Month-to-month,0.9324542735042733
CUST0840,68,99.45,Month-to-month,0.9313655533861066
CUST0104,2,105.26,Month-to-month,0.9308333333333333
CUST0563,1,60.58,Month-to-month,0.9295621693121693
CUST0986,3,79.98,Month-to-month,0.9283587131941242
CUST0716,11,41.31,Month-to-month,0.9260490121978127
CUST0101,10,66.14,Month-to-month,0.925883928665038
CUST0947,1,24.53,Month-to-month,0.924404761904762
CUST0747,3,87.07,Month-to-month,0.9243917112299465
CUST0612,3,98.22,Month-to-month,0.924088705412235
CUST0920,8,68.43,Month-to-month,0.9211029411764706
CUST0707,8,87.21,Month-to-month,0.9196924183979156
CUST0203,12,106.34,Month-to-month,0.9179828052038189
CUST0100,11,99.25,Month-to-month,0.9158395615838626
CUST0236,6,102.38,Month-to-month,0.915100942290792
CUST0138,8,79.14,Month-to-month,0.914070917081566
CUST0328,1,46.67,Month-to-month,0.9123513328776487
CUST0071,10,35.16,Month-to-month,0.9121403057726587
CUST0257,2,110.72,Month-to-month,0.9114970238095238
CUST0904,6,108.56,Month-to-month,0.9045797570490186
CUST0731,3,93.94,Month-to-month,0.904444789932512
CUST0252,60,102.67,Month-to-month,0.9044249043771754
CUST0223,10,83.71,Month-to-month,0.9043696110882667
CUST0958,8,78.1,Month-to-month,0.9004859269083407
CUST0416,47,109.77,Month-to-month,0.8986901960664885
CUST0300,5,95.4,Month-to-month,0.8982493168039893
CUST0653,64,107.8,Month-to-month,0.8980589967380602
CUST0463,66,100.83,Month-to-month,0.8959713427960956
CUST0706,1,65.07,Month-to-month,0.8938214285714285
CUST0381,49,104.72,Month-to-month,0.8933782214200593
CUST0628,58,91.44,Month-to-month,0.8910576178950818
CUST0670,3,119.04,Month-to-month,0.8906614452798665
CUST0188,2,83.21,Month-to-month,0.8906420719803072
CUST0102,57,93.08,Month-to-month,0.8902498186513548
CUST0672,44,114.13,Month-to-month,0.8900870223186398
CUST0363,11,91.01,Month-to-month,0.8897537865225837
CUST0372,8,73.07,Month-to-month,0.8863002599825356
CUST0991,3,75.79,Month-to-month,0.8859306722689075
CUST0583,10,90.85,Month-to-month,0.8827915095446186
CUST0044,4,78.02,Month-to-month,0.8827498408454292
CUST0350,8,77.06,Month-to-month,0.8822367439018046
CUST0782,67,111.53,Month-to-month,0.881186858076564
CUST0358,5,80.61,Month-to-month,0.8811735067883296
CUST0542,10,92.31,Month-to-month,0.879751098901099
CUST0480,4,64.44,Month-to-month,0.879157263814617
CUST0398,10,69.73,Month-to-month,0.8760476592936025
CUST0451,16,96.36,Month-to-month,0.875237821325713
CUST0266,50,113.02,Month-to-month,0.8750205194571753
CUST0397,11,113.06,Month-to-month,0.8743483603697892
CUST0841,68,108.44,Month-to-month,0.8737998446270504
CUST0843,2,66.18,Month-to-month,0.8731150793650794
CUST0364,52,113.74,Month-to-month,0.8727772993473566
CUST0805,62,91.3,Month-to-month,0.8725686789549125
CUST0075,49,118.01,Month-to-month,0.8720106909219812
CUST0459,10,24.61,Month-to-month,0.8702365651589791
CUST0952,61,104.23,Month-to-month,0.8699122038673913
CUST0816,3,64.62,Month-to-month,0.8686933882922725
CUST0637,5,70.15,Month-to-month,0.8684093406593408
CUST0620,50,90.62,Month-to-month,0.8674982706475381
CUST0333,10,96.23,Month-to-month,0.8642002397033488
CUST0614,49,99.75,Month-to-month,0.8602072284997284
CUST0578,30,114.92,One year,0.8596165038665039
CUST0467,36,109.46,Month-to-month,0.8591566502951753
CUST0129,49,64.12,Month-to-month,0.8563279748697742
CUST0490,4,117.44,Month-to-month,0.856297619047619
CUST0009,48,105.18,Month-to-month,0.8562177323238308
CUST0828,61,100.93,Month-to-month,0.8549635598808065
CUST0772,66,71.36,Month-to-month,0.8549100631204247
CUST0702,3,84.16,Month-to-month,0.8541033636858999
